DESCRIPCIÓN DE LAS UNIDADES,Dólares de Estados Unidos por Euro,Yenes japoneses por Euro,Francos suizos por Euro,Libras esterlinas por Euro,Coronas checas por Euro,Coronas danesas por Euro,Forints húngaros por Euro,Zlotys polacos por Euro,Lei rumanos por Euro,Coronas suecas por Euro,Coronas noruegas por Euro,Liras turcas por Euro,Dólares australianos por Euro,Reales brasileños por Euro,Dólares canadienses por Euro,Yuans por Euro,Dólares de Hong Kong por Euro,Rupias indonesias por Euro,Rupias indias por euro,Wons surcoreanos por Euro,Pesos mejicanos por Euro,Dólares neozelandeses por Euro,Pesos filipinos por Euro,Dólares de Singapur por Euro
25 MAY 2016,"1,115 USD","122,790 JPY","1,105 CHF","0,759 GBP","27,028 CZK","7,437 DKK","314,290 HUF","4,421 PLN","4,509 RON","9,265 SEK","9,295 NOK","3,288 TRY","1,548 AUD","3,968 BRL","1,461 CAD","7,314 €","8,653 CNY","15.203,700 IDR","75,100 INR","1.317,160 KRW","20,502 MXN","1,649 NZD","52,109 PHP","1,537 SGD"
26 MAY 2016,"1,117 USD","122,930 JPY","1,108 CHF","0,760 GBP","27,023 CZK","7,437 DKK","314,390 HUF","4,411 PLN","4,507 RON","9,287 SEK","9,247 NOK","3,274 TRY","1,548 AUD","4,000 BRL","1,444 CAD","7,324 €","8,673 CNY","15.192,390 IDR","74,916 INR","1.317,870 KRW","20,514 MXN","1,659 NZD","52,131 PHP","1,538 SGD"
27 MAY 2016,"1,117 USD","122,460 JPY","1,107 CHF","0,762 GBP","27,028 CZK","7,437 DKK","314,210 HUF","4,391 PLN","4,503 RON","9,267 SEK","9,282 NOK","3,293 TRY","1,548 AUD","4,031 BRL","1,456 CAD","7,328 €","8,674 CNY","15.157,250 IDR","74,867 INR","1.316,980 KRW","20,661 MXN","1,659 NZD","52,096 PHP","1,536 SGD"
30 MAY 2016,"1,114 USD","123,850 JPY","1,106 CHF","0,761 GBP","27,021 CZK","7,437 DKK","313,810 HUF","4,394 PLN","4,503 RON","9,283 SEK","9,303 NOK","3,293 TRY","1,550 AUD","4,015 BRL","1,452 CAD","7,331 €","8,654 CNY","15.199,170 IDR","74,787 INR","1.326,590 KRW","20,577 MXN","1,662 NZD","52,053 PHP","1,538 SGD"
31 MAY 2016,"1,115 USD","123,830 JPY","1,104 CHF","0,762 GBP","27,022 CZK","7,438 DKK","314,110 HUF","4,387 PLN","4,511 RON","9,291 SEK","9,320 NOK","3,293 TRY","1,537 AUD","3,985 BRL","1,453 CAD","7,336 €","8,664 CNY","15.180,410 IDR","74,951 INR","1.326,110 KRW","20,519 MXN","1,652 NZD","52,149 PHP","1,537 SGD"
01 JUN 2016,"1,117 USD","122,070 JPY","1,106 CHF","0,774 GBP","27,027 CZK","7,439 DKK","314,110 HUF","4,398 PLN","4,518 RON","9,280 SEK","9,308 NOK","3,294 TRY","1,537 AUD","4,021 BRL","1,459 CAD","7,350 €","8,682 CNY","15.273,740 IDR","75,378 INR","1.331,530 KRW","20,653 MXN","1,637 NZD","52,110 PHP","1,538 SGD"
02 JUN 2016,"1,119 USD","121,960 JPY","1,106 CHF","0,773 GBP","27,029 CZK","7,438 DKK","313,020 HUF","4,390 PLN","4,520 RON","9,295 SEK","9,336 NOK","3,297 TRY","1,552 AUD","4,024 BRL","1,466 CAD","7,364 €","8,693 CNY","15.268,820 IDR","75,297 INR","1.329,350 KRW","20,778 MXN","1,647 NZD","52,107 PHP","1,540 SGD"
03 JUN 2016,"1,115 USD","121,470 JPY","1,105 CHF","0,773 GBP","27,025 CZK","7,438 DKK","312,440 HUF","4,386 PLN","4,519 RON","9,261 SEK","9,285 NOK","3,290 TRY","1,540 AUD","3,997 BRL","1,459 CAD","7,347 €","8,668 CNY","15.146,020 IDR","75,011 INR","1.322,410 KRW","20,880 MXN","1,629 NZD","51,821 PHP","1,535 SGD"
06 JUN 2016,"1,135 USD","121,580 JPY","1,105 CHF","0,787 GBP","27,023 CZK","7,438 DKK","311,450 HUF","4,378 PLN","4,519 RON","9,246 SEK","9,294 NOK","3,301 TRY","1,542 AUD","3,993 BRL","1,467 CAD","7,452 €","8,815 CNY","15.162,260 IDR","76,000 INR","1.323,000 KRW","21,063 MXN","1,638 NZD","52,398 PHP","1,542 SGD"
07 JUN 2016,"1,135 USD","122,160 JPY","1,098 CHF","0,779 GBP","27,021 CZK","7,436 DKK","310,480 HUF","4,349 PLN","4,507 RON","9,224 SEK","9,223 NOK","3,290 TRY","1,526 AUD","3,979 BRL","1,451 CAD","7,458 €","8,815 CNY","15.032,700 IDR","75,741 INR","1.311,680 KRW","21,071 MXN","1,632 NZD","52,229 PHP","1,536 SGD"
08 JUN 2016,"1,138 USD","121,770 JPY","1,094 CHF","0,780 GBP","27,021 CZK","7,436 DKK","310,090 HUF","4,323 PLN","4,506 RON","9,228 SEK","9,206 NOK","3,280 TRY","1,523 AUD","3,879 BRL","1,443 CAD","7,473 €","8,834 CNY","15.025,790 IDR","75,721 INR","1.311,380 KRW","20,682 MXN","1,623 NZD","52,223 PHP","1,534 SGD"
